Label,Value
2022/9/17,557000
2022/9/24,932327
2022/10/1,292000
2022/10/8,705500
2022/10/15,228700
2022/10/22,282735
2022/10/29,404551
2022/11/5,523192
2022/11/12,125345
2022/11/19,656796
2022/11/26,214233
2022/12/3,308995
2022/12/10,588273
2022/12/17,631419
2022/12/24,933991
2022/12/31,591758
2023/1/7,487339
2023/1/14,287387
2023/1/21,1350587
2023/1/28,316181
2023/2/4,236652
2023/2/11,646999
2023/2/18,716413
